Date,Name,CURRENT RATIO,PRICE EARNINGS RATIO,RETURN ON INVESTED CAPITAL,TOTAL DEBT TO TOTAL ASSET,TOTAL DEBT TO TOTAL EQUITY,RETURN ON ASSET RATIO
2004/09/30,A ,2.4245,16.148,9.1041,17.0598,34.5449,4.5244
2004/10/31,A ,2.6315,16.148,9.5246,16.0974,32.2219,5.4907
2004/12/31,A ,2.6315,15.7649,9.5246,16.0974,32.2219,5.4907
2005/01/31,A ,2.6251,15.7649,7.4207,16.0839,30.5202,5.9258
2005/03/31,A ,2.6251,15.4203,7.4207,16.0839,30.5202,5.9258
2005/04/30,A ,2.7269,15.4203,5.3997,15.8228,29.7234,5.6229
2005/06/30,A ,2.7269,18.2473,5.3997,15.8228,29.7234,5.6229
2005/07/31,A ,2.7815,18.2473,3.043,15.642,29.1287,5.6198
2005/09/30,A ,2.7815,27.1081,3.043,15.642,29.1287,5.6198
2005/10/31,A ,2.297,27.1081,3.043,15.642,29.1287,4.7067
2005/12/30,A ,2.297,22.1201,3.043,15.642,29.1287,4.7067
2006/01/31,A ,2.8259,22.1201,1.6927,18.6893,35.868,40.0633
2006/03/31,A ,2.8259,22.1155,1.6927,18.6893,35.868,40.0633
2006/04/30,A ,2.565,22.1155,1.6967,18.6174,36.8189,39.9347
2006/06/30,A ,2.565,18.2682,1.6967,18.6174,36.8189,39.9347
2006/07/31,A ,2.5128,18.2682,3.9737,19.4074,39.557,42.2121
2006/09/29,A ,2.5128,16.5677,3.9737,19.4074,39.557,42.2121
2006/10/31,A ,2.5735,16.5677,3.9737,20.3555,41.1184,46.8414
2006/12/29,A ,2.5735,19.7873,3.9737,20.3555,41.1184,46.8414
2007/01/31,A ,2.7325,19.7873,5.7938,20.8536,41.0172,8.4237
2007/03/30,A ,2.7325,18.3983,5.7938,20.8536,41.0172,8.4237
2007/04/30,A ,2.4395,18.3983,6.9904,20.5959,42.1941,8.4615
